2015-05-11 23:48:42.7240|WARN|thread: 1|StandardUserErrors|Showing user error Failed to create a new commit.
GitHub.IO.ProcessException: On branch master
Your branch and 'origin/master' have diverged,
and have 1 and 2 different commits each, respectively.
  (use "git pull" to merge the remote branch into yours)

nothing to commit, working directory clean
2015-05-11 22:03:24.6779|INFO|thread: 1|CommandLineHandler|Parsing command line arguments:C:\Users\carlos\AppData\Local\Apps\2.0\QWOZBM97.CX8\NMBHY1R1.P7T\gith..tion_317444273a93ac29_0002.000d_6a9b565322d28a14\GitHub.exe
2015-05-11 22:03:24.6935|INFO|thread: 1|AppInstanceCommunicator|Starting up as master instance of GitHub for Windows
2015-05-11 22:03:24.7403|INFO|thread: 5|StartupLogging| #########################################
2015-05-11 22:03:24.7403|INFO|thread: 5|StartupLogging| GitHub for Windows started. VERSION: 2.13.2.4
2015-05-11 22:03:24.7403|INFO|thread: 5|StartupLogging| Build version: b5813af694417341067e77ba27146bdc57169dba
2015-05-11 22:03:24.7403|INFO|thread: 5|StartupLogging| ***************************************
2015-05-11 22:03:24.7403|INFO|thread: 5|StartupLogging| ***                                 ***
2015-05-11 22:03:24.7403|INFO|thread: 5|StartupLogging| ***                                 ***
2015-05-11 22:03:24.7403|INFO|thread: 5|StartupLogging| ***        Have a problem?          ***
2015-05-11 22:03:24.7403|INFO|thread: 5|StartupLogging| ***    Email support@github.com     ***
2015-05-11 22:03:24.7403|INFO|thread: 5|StartupLogging| ***      and include this file      ***
2015-05-11 22:03:24.7403|INFO|thread: 5|StartupLogging| ***                                 ***
2015-05-11 22:03:24.7403|INFO|thread: 5|StartupLogging| ***                                 ***
2015-05-11 22:03:24.7403|INFO|thread: 5|StartupLogging| ***************************************
2015-05-11 22:03:24.7403|INFO|thread: 5|StartupLogging| OS Version: Windows NT 6.3.9600.0 amd64
2015-05-11 22:03:24.7403|INFO|thread: 5|StartupLogging| CLR Version: 4.0.30319.34014
2015-05-11 22:03:24.7403|INFO|thread: 5|StartupLogging| Current culture: es-ES
2015-05-11 22:03:24.7403|INFO|thread: 5|StartupLogging| Terminal Services session: no
2015-05-11 22:03:24.7403|INFO|thread: 5|StartupLogging| Location: C:\Users\carlos\AppData\Local\Apps\2.0\QWOZBM97.CX8\NMBHY1R1.P7T\gith..tion_317444273a93ac29_0002.000d_6a9b565322d28a14\GitHub.exe
2015-05-11 22:03:24.7560|INFO|thread: 5|StartupLogging| ActivationUri: https://github-windows.s3.amazonaws.com/GitHub.application
2015-05-11 22:03:24.7872|INFO|thread: 1|HardwareRenderingHelper|Your video card appears to support hardware rendering. If this isn't the case and you see glitches
2015-05-11 22:03:24.7872|INFO|thread: 1|HardwareRenderingHelper|set the GH_FORCE_SW_RENDERING environment variable to 1
2015-05-11 22:03:24.8966|INFO|thread: 5|GitEnvironment|Process set up with this SSH Agent info: (null):(null)
2015-05-11 22:03:24.8966|INFO|thread: 5|GitEnvironment|PATH is C:\Users\carlos\AppData\Local\GitHub\PortableGit_c2ba306e536fdf878271f7fe636a147ff37326ad\cmd;C:\Users\carlos\AppData\Local\GitHub\PortableGit_c2ba306e536fdf878271f7fe636a147ff37326ad\bin;C:\Users\carlos\AppData\Local\Apps\2.0\QWOZBM97.CX8\NMBHY1R1.P7T\gith..tion_317444273a93ac29_0002.000d_6a9b565322d28a14;C:\Users\carlos\AppData\Local\GitHub\lfs-amd64_0.5.0-pre2;C:\Program Files (x86)\MSBuild\12.0\bin;C:\ProgramData\Oracle\Java\javapath;C:\Windows\system32;C:\Windows;C:\Windows\System32\Wbem;C:\Windows\System32\WindowsPowerShell\v1.0\;C:\Program Files\Hewlett-Packard\SimplePass\;C:\Program Files (x86)\Windows Kits\8.1\Windows Performance Toolkit\;C:\Program Files\Microsoft SQL Server\110\Tools\Binn\;c:\Program Files (x86)\Microsoft SQL Server\110\Tools\Binn\;c:\Program Files\Microsoft SQL Server\110\DTS\Binn\;c:\Program Files (x86)\Microsoft SQL Server\110\Tools\Binn\ManagementStudio\;c:\Program Files (x86)\Microsoft SQL Server\110\DTS\Binn\;C:\Program Files (x86)\Skype\Phone\;C:\Program Files\TortoiseSVN\bin
2015-05-11 22:03:24.8966|INFO|thread: 5|StartupLogging| =====================================================
2015-05-11 22:03:24.8966|INFO|thread: 5|StartupLogging|  DIAGNOSTICS                                        |
2015-05-11 22:03:24.8966|INFO|thread: 5|StartupLogging| =====================================================
2015-05-11 22:03:24.9122|INFO|thread: 5|StartupLogging| Git Extracted: 'True:
2015-05-11 22:03:24.9122|INFO|thread: 5|StartupLogging| PortableGit Dir Exists: 'C:\Users\carlos\AppData\Local\GitHub\PortableGit_c2ba306e536fdf878271f7fe636a147ff37326ad'
2015-05-11 22:03:24.9122|INFO|thread: 5|StartupLogging| Git Executable Exists: 'C:\Users\carlos\AppData\Local\GitHub\PortableGit_c2ba306e536fdf878271f7fe636a147ff37326ad\bin\git.exe'
2015-05-11 22:03:24.9122|INFO|thread: 5|StartupLogging| ----------------------------------------------------
